Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2022;47.475.420
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2022;385.727
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2019;388.167
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.901.594
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.858.683
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2022;740.534
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2019;716.820
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2022;334.412
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2019;331.549
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.004.686
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.022.800
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.140
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2019;157.640
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2022;666.971
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2019;673.559
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.176.659
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.149.460
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2022;5.727.615
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2019;5.664.579
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.149.344
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.152.651
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2022;355.045
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2019;356.958
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2022;387.805
10 Cáceres;TOTAL EDADES;TOTAL;Ambos sexos;2019;394.151
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.246.781
11 Cádiz;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.240.155
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2022;585.402
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2019;581.078
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2022;590.616
12 Castellón/Castelló;TOTAL EDADES;TOTAL;Ambos sexos;2019;579.962
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2022;490.806
13 Ciudad Real;TOTAL EDADES;TOTAL;Ambos sexos;2019;495.761
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2022;772.464
14 Córdoba;TOTAL EDADES;TOTAL;Ambos sexos;2019;782.979
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.119.180
15 Coruña, A;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.119.596
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2022;195.215
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2019;196.329
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2022;724.418
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2019;723.576
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2022;793.478
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2019;771.044
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2022;921.987
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2019;914.678
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2022;268.127
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2019;257.762
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2022;528.763
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2019;521.870
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2022;225.456
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2019;220.461
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2022;623.761
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2019;633.564
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2022;448.179
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2019;460.001
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2022;441.443
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2019;434.930
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2022;323.989
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2019;329.587
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2022;6.750.336
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2019;6.663.394
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.717.504
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.661.785
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.531.878
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.493.898
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2022;664.117
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2019;654.214
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2022;304.280
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2019;307.651
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.008
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2019;160.980
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.129.395
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.120.406
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2022;943.015
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2019;942.665
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2022;319.892
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2019;316.798
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2022;325.898
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2019;330.119
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.048.306
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.032.983
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2022;153.803
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2019;153.129
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.948.393
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.942.389
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2022;88.377
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2019;88.636
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2022;830.075
43 Tarragona;TOTAL EDADES;TOTAL;Ambos sexos;2019;804.664
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2022;134.421
44 Teruel;TOTAL EDADES;TOTAL;Ambos sexos;2019;134.137
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2022;713.453
45 Toledo;TOTAL EDADES;TOTAL;Ambos sexos;2019;694.844
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2022;2.605.757
46 Valencia/València;TOTAL EDADES;TOTAL;Ambos sexos;2019;2.565.124
47 Valladolid;TOTAL EDADES;TOTAL;Ambos sexos;2022;517.975
